x_center, density_A, density_B, density_total
<<<<<<< HEAD
0.050000, 1.500595, 1.205258, 2.705853
0.150000, 1.791509, 0.931666, 2.723175
0.250000, 2.048686, 0.713009, 2.761695
0.350000, 2.313192, 0.524680, 2.837872
0.450000, 2.511680, 0.371327, 2.883006
0.550000, 2.656042, 0.255066, 2.911108
0.650000, 2.771920, 0.173047, 2.944967
0.750000, 2.866000, 0.115633, 2.981633
0.850000, 2.908583, 0.078480, 2.987062
0.950000, 2.943261, 0.055662, 2.998923
1.050000, 2.975641, 0.038481, 3.014122
1.150000, 2.999563, 0.025991, 3.025553
1.250000, 2.999491, 0.017616, 3.017106
1.350000, 3.028664, 0.012522, 3.041186
1.450000, 3.015231, 0.010108, 3.025339
1.550000, 3.019616, 0.009828, 3.029444
1.650000, 3.017703, 0.008528, 3.026231
1.750000, 3.016691, 0.007520, 3.024211
1.850000, 3.033508, 0.006469, 3.039977
1.950000, 3.035738, 0.006761, 3.042498
2.050000, 3.025797, 0.006886, 3.032683
2.150000, 3.024219, 0.006484, 3.030703
2.250000, 3.021805, 0.006806, 3.028611
2.350000, 3.026123, 0.006363, 3.032486
2.450000, 3.021778, 0.006338, 3.028116
2.550000, 3.023514, 0.006830, 3.030344
2.650000, 3.025270, 0.007213, 3.032483
2.750000, 3.030297, 0.006975, 3.037272
2.850000, 3.020400, 0.007434, 3.027834
2.950000, 3.011122, 0.007348, 3.018470
3.050000, 3.023606, 0.006758, 3.030364
3.150000, 3.028581, 0.006856, 3.035438
3.250000, 3.040631, 0.007339, 3.047970
3.350000, 3.040092, 0.007327, 3.047419
3.450000, 3.013658, 0.006116, 3.019773
3.550000, 3.015284, 0.005648, 3.020933
3.650000, 3.027772, 0.005947, 3.033719
3.750000, 3.025459, 0.006461, 3.031920
3.850000, 3.038988, 0.006958, 3.045945
3.950000, 3.020025, 0.006000, 3.026025
4.050000, 3.020044, 0.006378, 3.026422
4.150000, 3.015108, 0.006139, 3.021247
4.250000, 3.024033, 0.006063, 3.030095
4.350000, 3.047111, 0.005814, 3.052925
4.450000, 3.025183, 0.006173, 3.031356
4.550000, 3.026311, 0.005781, 3.032092
4.650000, 3.021758, 0.006213, 3.027970
4.750000, 3.019545, 0.006669, 3.026214
4.850000, 3.022736, 0.007408, 3.030144
4.950000, 3.023233, 0.007203, 3.030436
5.050000, 3.019689, 0.007430, 3.027119
5.150000, 3.020100, 0.008908, 3.029008
5.250000, 3.031558, 0.008284, 3.039842
5.350000, 3.024000, 0.007280, 3.031280
5.450000, 3.022559, 0.007233, 3.029792
5.550000, 3.023502, 0.007012, 3.030514
5.650000, 3.020066, 0.006836, 3.026902
5.750000, 3.023922, 0.006055, 3.029977
5.850000, 3.027886, 0.007077, 3.034962
5.950000, 3.024570, 0.006617, 3.031188
6.050000, 3.042267, 0.006614, 3.048881
6.150000, 3.016169, 0.005895, 3.022064
6.250000, 3.024127, 0.006811, 3.030937
6.350000, 3.017791, 0.006542, 3.024333
6.450000, 3.031645, 0.006472, 3.038117
6.550000, 3.014745, 0.006014, 3.020759
6.650000, 3.035603, 0.005214, 3.040817
6.750000, 3.031391, 0.004913, 3.036303
6.850000, 3.029448, 0.005069, 3.034517
6.950000, 3.025031, 0.005722, 3.030753
7.050000, 3.021330, 0.005717, 3.027047
7.150000, 3.022261, 0.004845, 3.027106
7.250000, 3.031516, 0.004562, 3.036078
7.350000, 3.024103, 0.004967, 3.029070
7.450000, 3.028097, 0.004955, 3.033052
7.550000, 3.029969, 0.004589, 3.034558
7.650000, 3.031363, 0.004623, 3.035986
7.750000, 3.038206, 0.004130, 3.042336
7.850000, 3.026755, 0.004306, 3.031061
7.950000, 3.018795, 0.004459, 3.023255
8.050000, 3.013852, 0.004727, 3.018578
8.150000, 3.029895, 0.005283, 3.035178
8.250000, 3.023813, 0.005472, 3.029284
8.350000, 3.027572, 0.006741, 3.034312
8.450000, 3.028570, 0.007441, 3.036011
8.550000, 3.032991, 0.008402, 3.041392
8.650000, 3.006905, 0.010641, 3.017545
8.750000, 3.010931, 0.015142, 3.026073
8.850000, 2.997611, 0.022450, 3.020061
8.950000, 2.985956, 0.033488, 3.019444
9.050000, 2.954427, 0.049992, 3.004419
9.150000, 2.926211, 0.076342, 3.002553
9.250000, 2.848589, 0.118641, 2.967230
9.350000, 2.766511, 0.179084, 2.945595
9.450000, 2.658958, 0.259002, 2.917959
9.550000, 2.507620, 0.372105, 2.879725
9.650000, 2.310936, 0.516791, 2.827727
9.750000, 2.077123, 0.702561, 2.779684
9.850000, 1.817059, 0.930042, 2.747102
9.950000, 1.533239, 1.186130, 2.719369
10.050000, 1.241816, 1.462609, 2.704425
10.150000, 0.973972, 1.745505, 2.719477
10.250000, 0.741023, 2.021848, 2.762872
10.350000, 0.543536, 2.266814, 2.810350
10.450000, 0.390666, 2.483789, 2.874455
10.550000, 0.268164, 2.654416, 2.922580
10.650000, 0.182098, 2.771730, 2.953828
10.750000, 0.122927, 2.836617, 2.959544
10.850000, 0.079652, 2.891738, 2.971389
10.950000, 0.051913, 2.954708, 3.006620
11.050000, 0.034452, 2.994108, 3.028559
11.150000, 0.021292, 3.006573, 3.027866
11.250000, 0.014139, 3.026231, 3.040370
